country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",27-03-2025 13:00,28.73282,77.170633,CO,14,120,86
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",27-03-2025 13:00,28.58028,77.233829,SO2,3,39,17
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",27-03-2025 13:00,28.5918245,77.2273074,PM10,107,283,181
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",27-03-2025 13:00,23.107969,72.574648,NO2,9,68,38
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",27-03-2025 13:00,23.107969,72.574648,SO2,2,44,22
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",27-03-2025 13:00,22.977134,72.553024,NO2,11,116,47
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",27-03-2025 13:00,23.002657,72.591912,NO2,30,31,30
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",27-03-2025 13:00,23.020509,72.579261,PM2.5,31,77,51
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",27-03-2025 13:00,23.020509,72.579261,SO2,8,29,14
India,Delhi,Delhi,"Rohini, Delhi - DPCC",27-03-2025 13:00,28.732528,77.11992,PM2.5,45,382,230
India,Delhi,Delhi,"Rohini, Delhi - DPCC",27-03-2025 13:00,28.732528,77.11992,NH3,9,17,13
India,Delhi,Delhi,"Rohini, Delhi - DPCC",27-03-2025 13:00,28.732528,77.11992,SO2,7,40,19
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",27-03-2025 13:00,28.6514781,77.1473105,PM10,80,500,245
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",27-03-2025 13:00,28.6514781,77.1473105,CO,22,62,35
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",27-03-2025 13:00,28.5504249,77.2159377,NO2,42,44,43
India,Delhi,Delhi,"Pusa, Delhi - DPCC",27-03-2025 13:00,28.639652,77.146275,PM2.5,32,314,126
India,Delhi,Delhi,"Pusa, Delhi - DPCC",27-03-2025 13:00,28.639652,77.146275,NO2,73,129,99
India,Delhi,Delhi,"Pusa, Delhi - DPCC",27-03-2025 13:00,28.639652,77.146275,NH3,6,18,11
India,Delhi,Delhi,"Pusa, Delhi - IMD",27-03-2025 13:00,28.63611,77.173332,PM10,63,286,185
India,Delhi,Delhi,"Pusa, Delhi - IMD",27-03-2025 13:00,28.63611,77.173332,NO2,25,119,80
India,Delhi,Delhi,"Pusa, Delhi - IMD",27-03-2025 13:00,28.63611,77.173332,OZONE,4,107,18
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",27-03-2025 13:00,28.710508,77.249485,NO2,18,108,57
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",27-03-2025 13:00,28.672342,77.31526,PM10,101,371,259
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",27-03-2025 13:00,28.672342,77.31526,OZONE,3,183,37
India,Delhi,Delhi,"Narela, Delhi - DPCC",27-03-2025 13:00,28.822836,77.101981,PM2.5,41,500,278
India,Delhi,Delhi,"Narela, Delhi - DPCC",27-03-2025 13:00,28.822836,77.101981,CO,1,192,28
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",27-03-2025 13:00,28.699793,77.165453,NH3,10,15,13
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM",27-03-2025 13:00,28.3153,76.9143,OZONE,3,159,42
India,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",27-03-2025 13:00,30.943887,76.801991,NO2,6,47,18
India,Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKSPCB",27-03-2025 13:00,34.066206,74.81982,PM2.5,40,60,49
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB",27-03-2025 13:00,16.172806,75.659694,PM2.5,33,34,33
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB",27-03-2025 13:00,16.172806,75.659694,NO2,9,11,9
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB",27-03-2025 13:00,16.172806,75.659694,NH3,1,2,1
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB",27-03-2025 13:00,15.888653,74.541751,PM2.5,21,48,28
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB",27-03-2025 13:00,15.888653,74.541751,PM10,27,63,37
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB",27-03-2025 13:00,12.917348,77.622813,PM2.5,48,114,73
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB",27-03-2025 13:00,12.917348,77.622813,SO2,11,29,16
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB",27-03-2025 13:00,11.55358,76.55521,NO2,13,36,24
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB",27-03-2025 13:00,11.55358,76.55521,SO2,2,8,4
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB",27-03-2025 13:00,11.55358,76.55521,CO,17,120,22
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB",27-03-2025 13:00,11.55358,76.55521,OZONE,14,49,21
India,Kar45taka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB",27-03-2025 13:00,13.428828,77.731418,NO2,45,45,45
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB",27-03-2025 13:00,13.328028,75.797056,PM10,71,75,74
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",27-03-2025 13:00,28.376058,77.315741,NO2,29,32,31
India,Harya45,Faridabad,"Sector 30, Faridabad - HSPCB",27-03-2025 13:00,28.4417,77.3217,NO2,45,45,45
India,Harya45,Faridabad,"Sector 30, Faridabad - HSPCB",27-03-2025 13:00,28.4417,77.3217,CO,45,45,45
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",27-03-2025 13:00,28.4227,77.0667,PM2.5,36,423,234
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",27-03-2025 13:00,28.4227,77.0667,SO2,21,34,26
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",27-03-2025 13:00,28.4227,77.0667,OZONE,10,45,27
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB",27-03-2025 13:00,28.4275,77.1465,PM2.5,208,500,339
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB",27-03-2025 13:00,28.4275,77.1465,PM10,121,485,220
India,Kar45taka,Bengaluru,"Kasturi 45gar, Bengaluru - KSPCB",27-03-2025 13:00,13.003872,77.664217,PM10,45,45,45
India,Kar45taka,Bengaluru,"Kasturi 45gar, Bengaluru - KSPCB",27-03-2025 13:00,13.003872,77.664217,OZONE,45,45,45
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",27-03-2025 13:00,13.0270199,77.494094,PM2.5,41,96,60
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",27-03-2025 13:00,12.990328,77.5431385,PM10,38,45,39
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB",27-03-2025 13:00,13.0246342,77.5080115,PM2.5,36,58,50
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB",27-03-2025 13:00,13.0246342,77.5080115,PM10,23,132,73
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",27-03-2025 13:00,12.938539,77.5901,SO2,8,40,17
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB",27-03-2025 13:00,12.920984,77.584908,NO2,16,17,17
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB",27-03-2025 13:00,12.920984,77.584908,NH3,1,1,1
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB",27-03-2025 13:00,12.920984,77.584908,OZONE,16,19,17
India,Kar45taka,Bengaluru,"Jigani, Bengaluru - KSPCB",27-03-2025 13:00,12.7816279,77.6299145,SO2,45,45,45
India,Kar45taka,Bengaluru,"Jigani, Bengaluru - KSPCB",27-03-2025 13:00,12.7816279,77.6299145,CO,45,45,45
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",27-03-2025 13:00,23.076793,72.627874,NO2,8,68,24
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",27-03-2025 13:00,23.076793,72.627874,SO2,1,46,9
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",27-03-2025 13:00,21.613267,73.010555,PM2.5,52,139,72
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",27-03-2025 13:00,21.613267,73.010555,NH3,5,5,5
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB",27-03-2025 13:00,15.888653,74.541751,SO2,14,15,14
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB",27-03-2025 13:00,15.888653,74.541751,OZONE,19,21,20
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB",27-03-2025 13:00,12.951913,77.539784,PM10,60,153,98
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB",27-03-2025 13:00,12.951913,77.539784,OZONE,27,160,91
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",27-03-2025 13:00,23.221714,72.654328,CO,6,64,6
India,Gujarat,Surat,"Science Center, Surat - SMC",27-03-2025 13:00,21.170046,72.795405,CO,35,74,42
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",27-03-2025 13:00,20.362421,72.918013,NH3,10,10,10
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",27-03-2025 13:00,28.39072,77.30059,PM2.5,100,176,158
